Unnamed: 0,TIME,STEP,STEP_NAME,PARAM_NAME,PARAM_ALIAS,VALUE
0,2023-10-02 11:02:41.000,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,398.822
1,2023-10-02 11:02:42.000,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.5
2,2023-10-02 11:02:42.990,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.512
3,2023-10-02 11:02:43.985,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,398.822
4,2023-10-02 11:02:44.980,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.02200000000005
5,2023-10-02 11:02:45.975,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.512
6,2023-10-02 11:02:46.970,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.521
7,2023-10-02 11:02:47.965,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.12
8,2023-10-02 11:02:48.960,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.03200000000004
9,2023-10-02 11:02:49.955,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.12
10,2023-10-02 11:02:50.950,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.609
11,2023-10-02 11:02:51.945,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,397.933
12,2023-10-02 11:02:52.940,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.433
13,2023-10-02 11:02:53.935,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,398.82
14,2023-10-02 11:02:54.930,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.92
15,2023-10-02 11:02:55.925,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,398.52000000000004
16,2023-10-02 11:02:56.920,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.221
17,2023-10-02 11:02:57.915,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.62
18,2023-10-02 11:02:58.910,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,398.62
19,2023-10-02 11:02:59.905,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.519
20,2023-10-02 11:03:00.900,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.512
21,2023-10-02 11:03:01.895,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.512
22,2023-10-02 11:03:02.890,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.733
23,2023-10-02 11:03:03.885,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.719
24,2023-10-02 11:03:04.880,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.422
25,2023-10-02 11:03:05.875,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.512
26,2023-10-02 11:03:06.870,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.512
27,2023-10-02 11:03:07.865,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.512
28,2023-10-02 11:03:08.860,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,399.512
29,2023-10-02 11:03:09.855,0,STANDBY,GAS_N2_1,GAS_N2_LOADING_AREA,398.221
